trajectory_id,x,y
1,8.75,3.35
1,8.58,3.38
1,8.51,3.46
1,8.43,3.57
1,8.35,3.68
1,8.26,3.77
1,8.19,3.83
1,8.12,3.89
1,8.06,3.94
1,7.99,3.98
1,7.93,4.02
1,7.87,4.05
1,7.81,4.09
1,7.75,4.12
1,7.69,4.14
1,7.62,4.17
1,7.56,4.19
1,7.52,4.2
1,7.47,4.22
1,7.41,4.23
1,7.85,4.03
1,8.34,3.68
1,8.69,3.3
1,8.7,3.3
1,8.71,3.3
1,8.73,3.3
1,8.76,3.29
1,8.81,3.29
1,8.89,3.29
1,9.03,3.27
1,9.26,3.21
1,9.62,3.06
1,10.11,2.7
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,2.57
1,10.29,3.6
1,10.17,4.52
1,9.97,5.47
1,10.12,6.38
1,10.23,6.65
1,10.39,6.66
1,10.62,6.76
1,10.94,6.92
1,11.2,7.14
1,11.36,7.46
1,11.22,7.99
1,10.91,8.79
1,10.79,9.77
1,10.78,10.76
1,10.73,11.73
1,10.88,12.56
1,11.23,13.32
1,11.36,14.3
1,11.42,15.16
1,11.4,15.65
1,11.41,14.6
1,11.42,13.6
1,11.28,12.76
1,10.98,11.96
1,10.86,10.99
1,10.78,10.04
1,10.57,9.09
1,10.57,8.09
1,10.57,7.09
1,10.33,6.31
1,10.05,5.44
1,10.0,4.47
1,9.81,4.3
1,9.45,4.1
1,9.02,3.54
1,8.97,3.28
1,9.09,3.26
1,9.23,3.22
1,9.44,3.15
1,9.78,2.91
1,9.88,2.76
1,10.07,2.58
1,10.11,2.56
1,10.12,2.56
1,10.14,2.56
1,10.15,2.56
1,10.17,2.58
1,10.18,2.59
1,10.2,2.58
1,10.22,2.58
1,10.22,2.57
1,10.23,2.57
1,10.24,2.57
1,10.24,2.57
1,10.24,2.57
1,10.24,2.57
1,10.25,2.57
1,10.25,2.57
1,10.25,2.57
1,10.25,2.57
1,9.85,2.94
1,9.27,3.24
1,8.48,3.5
1,8.21,3.82
